coverage,risk,accuracy,abstain_threshold
0.053,0.5188679245283019,0.4811320754716981,0.3278761590851801
0.0535,0.5233644859813084,0.47663551401869164,0.3287823641914987
0.054,0.5185185185185185,0.4814814814814815,0.33069769450795283
0.0545,0.5137614678899083,0.4862385321100917,0.33078394458274446
0.055,0.5181818181818182,0.4818181818181818,0.3308626886851777
0.0555,0.5225225225225225,0.4774774774774775,0.33156003307630705
0.056,0.5178571428571429,0.4821428571428571,0.33238409104179417
0.0565,0.5132743362831859,0.48672566371681414,0.33285873136036875
0.057,0.5087719298245614,0.49122807017543857,0.3331655921622428
0.0575,0.5130434782608696,0.4869565217391304,0.3334095604138021
0.058,0.5172413793103449,0.48275862068965514,0.33401284732964626
0.0585,0.5128205128205128,0.4871794871794872,0.33415552599973186
0.059,0.5084745762711864,0.4915254237288136,0.3345441164296452
0.0595,0.5126050420168067,0.4873949579831933,0.3354825366000375
0.06,0.5083333333333333,0.4916666666666667,0.33555163930728443
0.0605,0.5041322314049587,0.49586776859504134,0.3355901406847339
0.061,0.5081967213114754,0.4918032786885246,0.3356490146562202
0.0615,0.5040650406504065,0.49593495934959353,0.3382157399972903
0.062,0.5080645161290323,0.49193548387096775,0.33845704086142836
0.0625,0.512,0.488,0.33889673206980114
0.063,0.5158730158730159,0.4841269841269841,0.3393599086528167
0.0635,0.5118110236220472,0.4881889763779528,0.33968233342647136
0.064,0.515625,0.484375,0.34006231061327846
0.0645,0.5116279069767442,0.4883720930232558,0.34078252208090276
0.065,0.5153846153846153,0.48461538461538467,0.34113989223375063
0.0655,0.5190839694656488,0.48091603053435117,0.3414526678223842
0.066,0.5227272727272727,0.4772727272727273,0.34160897725434
0.0665,0.518796992481203,0.48120300751879697,0.3416339262278803
0.067,0.5223880597014925,0.4776119402985075,0.3417922938158293
0.0675,0.5259259259259259,0.4740740740740741,0.34196670053008316
0.068,0.5294117647058824,0.47058823529411764,0.3420467217559606
0.0685,0.5328467153284672,0.46715328467153283,0.3420581209274733
0.069,0.5289855072463768,0.47101449275362317,0.3420960467531963
0.0695,0.5251798561151079,0.47482014388489213,0.34220724827947596
0.07,0.5285714285714286,0.4714285714285714,0.34238146940670067
0.0705,0.5319148936170213,0.46808510638297873,0.34280737729038085
0.071,0.528169014084507,0.471830985915493,0.34281089467606557
0.0715,0.5244755244755245,0.4755244755244755,0.3429540567485947
0.072,0.5277777777777778,0.4722222222222222,0.34295523013740203
0.0725,0.5310344827586206,0.46896551724137936,0.3436310226476057
0.073,0.5342465753424658,0.4657534246575342,0.34403217978291
0.0735,0.5374149659863946,0.4625850340136054,0.3443988866758922
0.074,0.5337837837837838,0.46621621621621623,0.3455336808885066
0.0745,0.5369127516778524,0.46308724832214765,0.3456666423452306
0.075,0.54,0.45999999999999996,0.3458068773493409
0.0755,0.543046357615894,0.45695364238410596,0.34629619725607375
0.076,0.5394736842105263,0.4605263157894737,0.34633345469668214
0.0765,0.5359477124183006,0.46405228758169936,0.3464126856620034
0.077,0.538961038961039,0.461038961038961,0.346435943065243
0.0775,0.5419354838709678,0.4580645161290322,0.3468014084698808
0.078,0.5384615384615384,0.46153846153846156,0.3471847458418448
0.0785,0.5414012738853503,0.4585987261146497,0.34734155683314544
0.079,0.5379746835443038,0.4620253164556962,0.34738559580681494
0.0795,0.5345911949685535,0.46540880503144655,0.34740383239432365
0.08,0.5375,0.4625,0.3478955462851878
0.0805,0.5403726708074534,0.45962732919254656,0.3479118111662986
0.081,0.5370370370370371,0.4629629629629629,0.34794935039942554
0.0815,0.5398773006134969,0.4601226993865031,0.3479664066042359
0.082,0.5426829268292683,0.45731707317073167,0.3481687170527612
0.0825,0.5393939393939394,0.4606060606060606,0.34879977191428907
0.083,0.536144578313253,0.463855421686747,0.34925945822284
0.0835,0.5389221556886228,0.4610778443113772,0.3493598730461413
0.084,0.5416666666666666,0.45833333333333337,0.34944039812190336
0.0845,0.5443786982248521,0.4556213017751479,0.349647162367395
0.085,0.5470588235294118,0.4529411764705882,0.3497058287222606
0.0855,0.543859649122807,0.45614035087719296,0.35119714218446607
0.086,0.5406976744186046,0.4593023255813954,0.35136377067505636
0.0865,0.5433526011560693,0.4566473988439307,0.35139095575486623
0.087,0.5402298850574713,0.45977011494252873,0.3513960926143027
0.0875,0.5428571428571428,0.4571428571428572,0.3514625539932546
0.088,0.5454545454545454,0.4545454545454546,0.3514756328186057
0.0885,0.5480225988700564,0.45197740112994356,0.3515620383154134
0.089,0.5449438202247191,0.4550561797752809,0.3527670659645983
0.0895,0.547486033519553,0.45251396648044695,0.3528975185375818
0.09,0.55,0.44999999999999996,0.35295379955717504
0.0905,0.5469613259668509,0.4530386740331491,0.35308009514082045
0.091,0.5439560439560439,0.4560439560439561,0.3531317043574398
0.0915,0.546448087431694,0.45355191256830596,0.3533039529733723
0.092,0.5489130434782609,0.45108695652173914,0.3535887891115548
0.0925,0.5513513513513514,0.4486486486486486,0.3542226920315023
0.093,0.553763440860215,0.446236559139785,0.35426589951309584
0.0935,0.5508021390374331,0.44919786096256686,0.3543563237527166
0.094,0.5478723404255319,0.4521276595744681,0.3544249291659671
0.0945,0.544973544973545,0.455026455026455,0.3550186457257214
0.095,0.5473684210526316,0.4526315789473684,0.35518579480267287
0.0955,0.5445026178010471,0.45549738219895286,0.3553742434412695
0.096,0.546875,0.453125,0.3554224302323665
0.0965,0.5440414507772021,0.4559585492227979,0.3556550812007969
0.097,0.5463917525773195,0.45360824742268047,0.35573827102682753
0.0975,0.5487179487179488,0.45128205128205123,0.3559525837463486
0.098,0.5510204081632653,0.44897959183673475,0.3566546077704437
0.0985,0.5532994923857868,0.4467005076142132,0.35708174602422776
0.099,0.5505050505050505,0.4494949494949495,0.35720658074848854
0.0995,0.5477386934673367,0.4522613065326633,0.35769484767341986
0.1,0.55,0.44999999999999996,0.357883452737224
0.1005,0.5472636815920398,0.45273631840796025,0.35799649731693095
0.101,0.5495049504950495,0.45049504950495045,0.3582749934837413
0.1015,0.5467980295566502,0.45320197044334976,0.35872496157328543
